VertWeld 1 	1 [sec] 	-44.511720140792633 [N] 	0 [N] 	-58.551727934497059 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 1 	2 [sec] 	-45848.439021984937 [N] 	0 [N] 	-38033.804784980704 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 1 	3 [sec] 	-45785.523673933378 [N] 	0 [N] 	-33033.80716522396 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 1 	4 [sec] 	-50386.267128910127 [N] 	0 [N] 	-44787.2082087437 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 2 	1 [sec] 	-496.45688797211483 [N] 	0 [N] 	5.168668939902747 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1101000000081 [mm] 	1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 2 	2 [sec] 	-36364.754391872411 [N] 	0 [N] 	-74514.428082891958 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1101000000081 [mm] 	1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 2 	3 [sec] 	-33264.818693194567 [N] 	0 [N] 	-67695.54375017756 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1101000000081 [mm] 	1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 2 	4 [sec] 	-44304.239068344759 [N] 	0 [N] 	-84955.406630591053 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1101000000081 [mm] 	1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 3 	1 [sec] 	-209.2352084192388 [N] 	0 [N] 	-130.8736343651826 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5660.0000000000164 [mm] 	3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 3 	2 [sec] 	-81903.072845439892 [N] 	0 [N] 	13939.302344755028 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5660.0000000000164 [mm] 	3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 3 	3 [sec] 	-82653.0400866082 [N] 	0 [N] 	14907.225098582785 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5660.0000000000164 [mm] 	3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 3 	4 [sec] 	-84123.704748917691 [N] 	0 [N] 	14646.926806912115 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5660.0000000000164 [mm] 	3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 4 	1 [sec] 	-525.50244461249758 [N] 	0 [N] 	-442.82284941286645 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2500000000246 [mm] 	4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 4 	2 [sec] 	-304980.37219396135 [N] 	0 [N] 	-57609.829143777781 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2500000000246 [mm] 	4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
